IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261261, W: 0.5834, X: -0.3091, Y: 0.5485, Z: 0.5130
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261261, W: 0.7070, X: -0.2211, Y: 0.5457, Z: 0.3918
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261261, W: -0.5841, X: -0.3074, Y: -0.5514, Z: 0.5102
IMU: 3, Sys: 2, Gyro: 0, Acc: 1, Mag: 3, Time: 261261, W: -0.7230, X: -0.4108, Y: -0.3423, Z: 0.4375
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 261261, W: 0.4429, X: -0.2523, Y: 0.6771, Z: 0.5308
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 261261, W: 0.6026, X: -0.3953, Y: 0.6162, Z: 0.3175
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261261, W: -0.3120, X: -0.3400, Y: -0.6105, Z: 0.6437
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261261, W: 0.7583, X: 0.3397, Y: 0.5563, Z: -0.0084
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261261, W: 0.7030, X: 0.0285, Y: 0.6273, Z: -0.3338
IMU: 9, Sys: 2, Gyro: 0, Acc: 1, Mag: 3, Time: 261261, W: 0.7772, X: 0.3036, Y: 0.5440, Z: -0.0885
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261417, W: 0.5797, X: -0.3079, Y: 0.5544, Z: 0.5117
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261417, W: 0.7018, X: -0.2263, Y: 0.5490, Z: 0.3937
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261417, W: -0.5876, X: -0.2914, Y: -0.5568, Z: 0.5097
IMU: 3, Sys: 2, Gyro: 0, Acc: 1, Mag: 3, Time: 261417, W: -0.7202, X: -0.4307, Y: -0.3473, Z: 0.4186
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 261417, W: 0.4391, X: -0.2560, Y: 0.6750, Z: 0.5347
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 261417, W: 0.6027, X: -0.3988, Y: 0.6123, Z: 0.3207
